,Facility Name,Fuel,Fuel Cost ($/MMBtu),Gas price,Gas_Hubs,Heat rate (MMBtu/MWh),Marginal Cost ($/MWh),ORIS,Plant nameplate capacity (MW),State,Unit Group,VOM ($/MWh),Running Capacity (MW)
0,,WIND,,,,,0.0,,686.8,,,,686.8
1,,SOLAR,,,,,0.0,,1.1,,,,687.9
2,,HYDRO,,,,,0.0,,579.2,,,,1267.1
3,,NUCLEAR,,,,,0.0,,29683.7,,,,30950.8
4,,STORAGE,,,,,0.0,,0.0,,,,30950.8
5,,OTHER RENEWABLES,,,,,0.0,,600.6,,,,31551.399999999998
6,York Energy Center,GAS,0.2,0.2,Dominion South Point,3.1540716197272842,3.630814323945457,55524,1569.4,PA,Combined cycle,3.0,33120.799999999996
7,Ontelaunee Energy Center,GAS,0.2,0.2,Dominion South Point,5.934065934065934,4.186813186813187,55193,728,PA,Combined cycle,3.0,33848.799999999996
8,Brunot Island Power Station,GAS,0.2,0.2,Dominion South Point,6.690682036503363,4.338136407300673,3096,416.4,PA,Combined cycle,3.0,34265.2
9,Panda Patriot Generation Plant,GAS,0.2,0.2,Dominion South Point,7.227586206896552,4.44551724137931,58426,870,PA,Combined cycle,3.0,35135.2
10,Panda Liberty Power Project,GAS,0.2,0.2,Dominion South Point,7.227586206896552,4.44551724137931,58420,870,PA,Combined cycle,3.0,36005.2
11,"Fairless Energy, LLC",GAS,0.2,0.2,Dominion South Point,7.263079222720478,4.452615844544096,55298,1338,PA,Combined cycle,3.0,37343.2
12,Liberty Electric Power Plant,GAS,0.2,0.2,Dominion South Point,7.312703583061889,4.462540716612378,55231,614,PA,Combined cycle,3.0,37957.2
13,"Lower Mount Bethel Energy, LLC",GAS,0.2,0.2,Dominion South Point,7.366482504604051,4.47329650092081,55667,651.6,PA,Combined cycle,3.0,38608.799999999996
14,Hunlock Creek Energy Center,GAS,0.2,0.2,Dominion South Point,7.402330363262508,4.480466072652502,3176,145.9,PA,Combined cycle,3.0,38754.7
15,"Allegheny Energy Units 3, 4 & 5",GAS,0.2,0.2,Dominion South Point,7.580935251798561,4.516187050359712,55710,556,PA,Combined cycle,3.0,39310.7
16,Helix Ironwood LLC,GAS,0.2,0.2,Dominion South Point,7.716049382716049,4.54320987654321,55337,777.6,PA,Combined cycle,3.0,40088.299999999996
17,"Marcus Hook Energy, LP",GAS,0.2,0.2,Dominion South Point,8.188015787585217,4.637603157517043,55801,836.1,PA,Combined cycle,3.0,40924.399999999994
18,Hunterstown Combined Cycle,GAS,0.2,0.2,Dominion South Point,8.201559020044543,4.640311804008909,55976,898,PA,Combined cycle,3.0,41822.399999999994
19,"Dynegy Fayette II, LLC",GAS,0.2,0.2,Dominion South Point,8.383791336748951,4.67675826734979,55516,644.1,PA,Combined cycle,3.0,42466.49999999999
20,Bethlehem Power Plant,GAS,0.2,0.2,Dominion South Point,8.794449262792714,4.758889852558543,55690,1153,PA,Combined cycle,3.0,43619.49999999999
21,New Castle,GAS,0.2,0.2,Dominion South Point,9.229500471253536,4.845900094250707,3138,424.4,PA,Coal boiler,3.0,44043.899999999994
22,Hay Road,GAS,0.32,0.32,Transco Zone 6 NY,5.870913663034367,4.878692372170997,7153,1193,DE,Combined cycle,3.0,45236.899999999994
23,Grays Ferry Cogen Partnership,GAS,0.2,0.2,Dominion South Point,9.766355140186915,4.953271028037383,54785,192.6,PA,Combined cycle,3.0,45429.49999999999
24,Garrison Energy Center,GAS,0.32,0.32,Transco Zone 6 NY,6.293628808864266,5.013961218836565,57349,361,DE,Combined cycle,3.0,45790.49999999999
25,Shawville,GAS,0.2,0.2,Dominion South Point,10.55379746835443,5.110759493670886,3131,632,PA,Coal boiler,3.0,46422.49999999999
26,McKee Run,GAS,0.32,0.32,Transco Zone 6 NY,7.804232804232805,5.497354497354498,599,151.2,DE,Coal boiler,3.0,46573.69999999999
27,NRG Energy Center Dover,GAS,0.32,0.32,Transco Zone 6 NY,10.042372881355933,6.213559322033898,10030,118,DE,Combined cycle,3.0,46691.69999999999
28,Riverside,GAS,1.1,1.1,Transco Zone 6 Non NY,4.199066874027994,7.618973561430794,1559,257.2,MD,Coal boiler,3.0,46948.89999999999
29,Portland,GAS,0.2,0.2,Dominion South Point,3.140096618357488,7.628019323671498,3113,621,PA,Combustion turbine,7.0,47569.89999999999
30,Hazleton Generation,GAS,0.2,0.2,Dominion South Point,6.209912536443149,8.241982507288629,10870,171.5,PA,Combustion turbine,7.0,47741.39999999999
31,Sewaren Generating Station,GAS,1.1,1.1,Transco Zone 6 Non NY,5.11912176891934,8.631033945811275,2411,1284.4,NJ,Coal boiler,3.0,49025.79999999999
32,Handsome Lake Energy,GAS,0.2,0.2,Dominion South Point,8.828522920203735,8.765704584040748,55233,294.5,PA,Combustion turbine,7.0,49320.29999999999
33,Doswell Limited Partnership,GAS,1.1,1.1,Transco Zone 6 Non NY,1.6313023610053314,8.794432597105864,52019,1313,VA,Combustion turbine,7.0,50633.29999999999
34,Clinch River,GAS,1.1,1.1,Transco Zone 6 Non NY,5.389473684210526,8.92842105263158,3775,712.5,VA,Coal boiler,3.0,51345.79999999999
35,Big Sandy,GAS,2.6923,2.6923,Lebanon,2.290299051787017,9.166172137126186,1353,1096.8,KY,Coal boiler,3.0,52442.59999999999
36,Allegheny Energy Units 1 & 2,GAS,0.2,0.2,Dominion South Point,11.187214611872147,9.237442922374429,55196,87.6,PA,Combustion turbine,7.0,52530.19999999999
37,"Armstrong Power, LLC",GAS,0.2,0.2,Dominion South Point,11.19767441860465,9.23953488372093,55347,688,PA,Combustion turbine,7.0,53218.19999999999
38,Hunlock Unit 4,GAS,0.2,0.2,Dominion South Point,11.363636363636363,9.272727272727273,56397,44,PA,Combustion turbine,7.0,53262.19999999999
39,Allegheny Energy Units 8 & 9,GAS,0.2,0.2,Dominion South Point,11.426940639269407,9.285388127853881,55377,87.6,PA,Combustion turbine,7.0,53349.79999999999
40,Chambersburg Units 12 & 13,GAS,0.2,0.2,Dominion South Point,11.643835616438357,9.328767123287673,55654,87.6,PA,Combustion turbine,7.0,53437.39999999999
41,Burlington Generating Station,GAS,1.1,1.1,Transco Zone 6 Non NY,2.2612942612942613,9.487423687423687,2399,819,NJ,Combustion turbine,7.0,54256.39999999999
42,North Jersey Energy Associates,GAS,1.1,1.1,Transco Zone 6 Non NY,6.508600650860065,10.159460715946071,10308,430.2,NJ,Combined cycle,3.0,54686.599999999984
43,Warren F. Sam Beasley Pwr Station,GAS,0.32,0.32,Transco Zone 6 NY,10.416666666666666,10.333333333333332,7962,96,DE,Combustion turbine,7.0,54782.599999999984
44,Newark Energy Center,GAS,1.1,1.1,Transco Zone 6 Non NY,6.887074829931973,10.57578231292517,58079,735,NJ,Combined cycle,3.0,55517.599999999984
45,Kearny Generating Station,GAS,1.1,1.1,Transco Zone 6 Non NY,3.3606844799775577,10.696752927975314,2404,1425.9,NJ,Combustion turbine,7.0,56943.499999999985
46,Woodbridge Energy Center,GAS,1.1,1.1,Transco Zone 6 Non NY,7.061635220125786,10.767798742138364,57839,795,NJ,Combined cycle,3.0,57738.499999999985
47,Warren County Power Station,GAS,1.1,1.1,Transco Zone 6 Non NY,7.124032060861296,10.836435266947426,55939,1472.2,VA,Combined cycle,3.0,59210.69999999998
48,West Deptford Energy Station,GAS,1.1,1.1,Transco Zone 6 Non NY,7.156109196925523,10.871720116618075,56963,754.6,NJ,Combined cycle,3.0,59965.29999999998
49,Linden Generating Station,GAS,1.1,1.1,Transco Zone 6 Non NY,7.2125583368689,10.933814170555792,2406,2121.3,NJ,Combined cycle,3.0,62086.599999999984
50,Brunswick County Power Station,GAS,1.1,1.1,Transco Zone 6 Non NY,7.437848118462165,11.181632930308382,58260,1472.2,VA,Combined cycle,3.0,63558.79999999998
51,Bellemeade Power Station,GAS,1.1,1.1,Transco Zone 6 Non NY,7.533333333333333,11.286666666666667,50966,330,VA,Combined cycle,3.0,63888.79999999998
52,Bergen,GAS,1.1,1.1,Transco Zone 6 Non NY,7.7215724954206,11.49372974496266,2398,1419.4,NJ,Combined cycle,3.0,65308.19999999998
53,Brandywine Power Facility,GAS,1.1,1.1,Transco Zone 6 Non NY,7.7908587257617725,11.569944598337951,54832,288.8,MD,Combined cycle,3.0,65596.99999999999
54,"Red Oak Power, LLC",GAS,1.1,1.1,Transco Zone 6 Non NY,7.964925100474972,11.76141761052247,55239,821.1,NJ,Combined cycle,3.0,66418.09999999999
55,Howard M Down,GAS,1.1,1.1,Transco Zone 6 Non NY,4.397981254506129,11.837779379956743,2434,138.7,NJ,Combustion turbine,7.0,66556.79999999999
56,Tenaska Virginia Generating Station,GAS,1.1,1.1,Transco Zone 6 Non NY,8.085826022619173,11.894408624881091,55439,946.1,VA,Combined cycle,3.0,67502.9
57,Possum Point Power Station,GAS,1.1,1.1,Transco Zone 6 Non NY,8.214611652817139,12.036072818098853,3804,2081.9,VA,Combined cycle,3.0,69584.79999999999
58,Bear Garden Generating Station,GAS,1.1,1.1,Transco Zone 6 Non NY,8.389982110912344,12.22898032200358,56807,559,VA,Combined cycle,3.0,70143.79999999999
59,Cumberland Energy Center,GAS,1.1,1.1,Transco Zone 6 Non NY,4.974048442906574,12.471453287197232,5083,231.2,NJ,Combustion turbine,7.0,70374.99999999999
